overall_rank,amfi_code,scheme_name,sub_category,composite_score,cagr_3yr_pct,sharpe_ratio,alpha_annual,expense_ratio_pct,max_drawdown_pct
1,148567,Mirae Asset Large Cap Fund,Large Cap,85.9,33.99,1.4483,26.9838,1.46,-11.27
2,120505,ICICI Pru Midcap Fund,Mid Cap,81.79,31.77,1.1801,29.2636,1.36,-18.19
3,120843,Kotak Flexicap Fund,Flexi Cap,81.54,29.58,1.3067,27.3305,1.45,-12.97
4,100033,HDFC Mid-Cap Opportunities Fund,Mid Cap,80.26,32.43,1.0937,27.1954,1.38,-16.22
5,120504,ICICI Pru Bluechip Fund,Large Cap,79.48,32.48,1.0265,21.1948,0.8,-12.59
6,119094,Axis Midcap Fund,Mid Cap,76.41,35.1,0.9982,26.0767,1.38,-20.96
7,119551,SBI Bluechip Fund,Large Cap,74.17,30.45,1.2083,23.201,1.54,-15.01
8,148569,Mirae Asset Tax Saver Fund,ELSS,73.01,29.17,1.2349,28.2704,1.6,-16.4
9,101206,ABSL Frontline Equity Fund,Large Cap,67.37,28.96,1.0272,21.3998,1.6,-11.29
10,119598,SBI Small Cap Fund,Small Cap,66.54,26.66,0.9453,30.337,1.43,-28.71
11,149323,DSP Midcap Fund,Mid Cap,65.9,26.86,1.1321,26.5986,1.61,-17.25
12,149324,DSP Small Cap Fund,Small Cap,65.83,26.99,0.9498,30.0579,1.52,-31.17
13,118632,Nippon India Large Cap Fund,Large Cap,65.71,22.65,1.0817,21.8294,1.51,-17.41
14,119552,SBI Bluechip Fund,Large Cap,65.13,16.26,0.9533,19.8686,0.66,-11.8
15,125497,HDFC Top 100 Fund,Large Cap,58.21,18.43,0.7758,17.7298,0.92,-15.2
16,118635,Nippon India ETF Nifty 50 BeES,Index/ETF,57.95,20.0,0.6649,15.1364,0.89,-11.65
17,118633,Nippon India Large Cap Fund,Large Cap,57.5,21.08,0.6452,15.6438,0.72,-18.63
18,102885,UTI Nifty 50 Index Fund,Index,53.85,19.66,0.8171,17.0488,1.57,-10.86
19,120503,ICICI Pru Bluechip Fund,Large Cap,52.43,13.97,0.798,17.7033,1.42,-13.9
20,148568,Mirae Asset Emerging Bluechip Fund,Large & Mid Cap,52.25,14.74,0.9263,20.873,1.52,-15.27
21,120506,ICICI Pru Value Discovery Fund,Value,49.87,18.42,0.6489,16.2539,1.41,-19.83
22,120507,ICICI Pru Liquid Fund,Liquid,46.67,7.39,0.4957,6.7462,0.74,-0.1
23,119093,Axis Bluechip Fund,Large Cap,46.28,20.81,0.1296,8.2328,0.75,-21.75
24,102887,UTI Flexi Cap Fund,Flexi Cap,44.81,25.55,0.6195,16.2113,1.64,-21.54
25,149322,DSP Top 100 Equity Fund,Large Cap,42.24,18.04,0.464,13.1732,1.54,-14.84
26,125498,HDFC Mid-Cap Opportunities Fund,Mid Cap,40.64,11.24,0.3006,11.9891,0.78,-21.12
27,120844,Kotak Liquid Fund,Liquid,39.61,6.69,-0.0887,6.4557,0.6,-0.12
28,120841,Kotak Bluechip Fund,Large Cap,37.82,17.26,0.4943,13.0429,1.59,-17.57
29,118634,Nippon India Small Cap Fund,Small Cap,36.73,8.01,0.4484,17.5007,1.53,-23.34
30,118636,Nippon India Gilt Securities Fund,Gilt,32.95,4.06,-0.3566,5.0748,0.55,-8.32
31,119120,SBI Magnum Gilt Fund,Gilt,32.05,5.84,-0.2266,5.6209,0.77,-4.33
32,101208,ABSL Liquid Fund,Liquid,31.16,6.31,-0.8156,6.0861,0.79,-0.16
33,100025,HDFC Short Term Debt Fund,Short Duration,30.13,3.92,-0.5671,4.2818,0.56,-4.31
34,120842,Kotak Emerging Equity Fund,Mid Cap,25.77,7.75,0.076,7.8044,1.56,-24.0
35,119599,SBI Small Cap Fund,Small Cap,21.99,-1.34,-0.0572,4.8824,0.72,-52.57
36,119092,Axis Bluechip Fund,Large Cap,20.58,0.53,0.0308,6.8995,1.64,-14.4
37,101207,ABSL Small Cap Fund,Small Cap,20.06,-4.15,0.1627,10.8971,1.53,-35.45
38,119095,Axis Small Cap Fund,Small Cap,15.13,-11.7,-0.076,4.8016,1.38,-51.68
39,100016,HDFC Top 100 Fund,Large Cap,12.18,1.29,-0.2015,3.7476,1.55,-24.73
40,102886,UTI Mid Cap Fund,Mid Cap,12.12,-0.77,-0.2058,2.8969,1.51,-28.0
