amfi_code,hhi_score,scheme_name,fund_house,concentration
119598,1073.7,SBI Small Cap Fund,SBI Mutual Fund,Moderate
119552,1079.9,SBI Bluechip Fund,SBI Mutual Fund,Moderate
118634,1083.6,Nippon India Small Cap Fund,Nippon India MF,Moderate
120504,1086.5,ICICI Pru Bluechip Fund,ICICI Prudential MF,Moderate
119095,1096.3,Axis Small Cap Fund,Axis Mutual Fund,Moderate
102886,1147.4,UTI Mid Cap Fund,UTI Mutual Fund,Moderate
149324,1186.8,DSP Small Cap Fund,DSP Mutual Fund,Moderate
119551,1187.2,SBI Bluechip Fund,SBI Mutual Fund,Moderate
118633,1214.6,Nippon India Large Cap Fund,Nippon India MF,Concentrated
120842,1274.6,Kotak Emerging Equity Fund,Kotak Mahindra MF,Concentrated
120843,1286.8,Kotak Flexicap Fund,Kotak Mahindra MF,Concentrated
101206,1293.1,ABSL Frontline Equity Fund,Aditya Birla Sun Life MF,Concentrated
102887,1297.8,UTI Flexi Cap Fund,UTI Mutual Fund,Concentrated
119093,1308.9,Axis Bluechip Fund,Axis Mutual Fund,Concentrated
149322,1344.2,DSP Top 100 Equity Fund,DSP Mutual Fund,Concentrated
118635,1359.7,Nippon India ETF Nifty 50 BeES,Nippon India MF,Concentrated
119094,1363.8,Axis Midcap Fund,Axis Mutual Fund,Concentrated
125497,1365.9,HDFC Top 100 Fund,HDFC Mutual Fund,Concentrated
148567,1386.1,Mirae Asset Large Cap Fund,Mirae Asset MF,Concentrated
100016,1395.3,HDFC Top 100 Fund,HDFC Mutual Fund,Concentrated
120503,1408.7,ICICI Pru Bluechip Fund,ICICI Prudential MF,Concentrated
149323,1416.2,DSP Midcap Fund,DSP Mutual Fund,Concentrated
100033,1475.9,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Concentrated
148569,1494.6,Mirae Asset Tax Saver Fund,Mirae Asset MF,Concentrated
120841,1496.5,Kotak Bluechip Fund,Kotak Mahindra MF,Concentrated
125498,1524.1,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Concentrated
120506,1537.3,ICICI Pru Value Discovery Fund,ICICI Prudential MF,Concentrated
120505,1575.1,ICICI Pru Midcap Fund,ICICI Prudential MF,Concentrated
148568,1679.6,Mirae Asset Emerging Bluechip Fund,Mirae Asset MF,Concentrated
118632,1682.3,Nippon India Large Cap Fund,Nippon India MF,Concentrated
102885,1747.1,UTI Nifty 50 Index Fund,UTI Mutual Fund,Concentrated
119599,1747.5,SBI Small Cap Fund,SBI Mutual Fund,Concentrated
101207,2007.4,ABSL Small Cap Fund,Aditya Birla Sun Life MF,Highly Concentrated
119092,2064.9,Axis Bluechip Fund,Axis Mutual Fund,Highly Concentrated
