amfi_code,scheme_name,num_observations,mean_daily_return,std_dev_daily,var_95_pct,cvar_95_pct,ann_var_95_pct
119599,SBI Small Cap Fund,1149,0.0201,1.5717,-2.6859,-3.2384,-42.638
119095,Axis Small Cap Fund,1149,0.0182,1.579,-2.6188,-3.1667,-41.5728
101207,ABSL Small Cap Fund,1149,0.0424,1.6251,-2.6021,-3.2459,-41.3075
118634,Nippon India Small Cap Fund,1149,0.0707,1.5901,-2.5438,-3.2304,-40.3818
119598,SBI Small Cap Fund,1149,0.1201,1.5837,-2.4507,-3.0595,-38.9037
149324,DSP Small Cap Fund,1149,0.1194,1.5648,-2.3483,-3.1036,-37.2782
102886,UTI Mid Cap Fund,1149,0.011,1.1424,-1.922,-2.3251,-30.5113
100033,HDFC Mid-Cap Opportunities Fund,1149,0.108,1.1929,-1.9034,-2.3456,-30.2148
120505,ICICI Pru Midcap Fund,1149,0.1161,1.2152,-1.8892,-2.4342,-29.9898
119094,Axis Midcap Fund,1149,0.1027,1.2225,-1.848,-2.426,-29.3365
125498,HDFC Mid-Cap Opportunities Fund,1149,0.0477,1.1561,-1.8365,-2.3094,-29.154
120842,Kotak Emerging Equity Fund,1149,0.0312,1.1273,-1.8219,-2.2725,-28.921
149323,DSP Midcap Fund,1149,0.1055,1.1179,-1.7882,-2.2607,-28.3869
148569,Mirae Asset Tax Saver Fund,1149,0.1124,1.1134,-1.7118,-2.1328,-27.1743
102887,UTI Flexi Cap Fund,1149,0.0645,0.9927,-1.5232,-1.9411,-24.1794
148568,Mirae Asset Emerging Bluechip Fund,1149,0.0825,0.9719,-1.4712,-1.8765,-23.3538
125497,HDFC Top 100 Fund,1149,0.071,0.9241,-1.4592,-1.831,-23.1637
120843,Kotak Flexicap Fund,1149,0.1082,1.0008,-1.4508,-1.8381,-23.0306
149322,DSP Top 100 Equity Fund,1149,0.0522,0.9042,-1.4474,-1.8402,-22.9765
120506,ICICI Pru Value Discovery Fund,1149,0.065,0.9594,-1.4388,-1.9405,-22.841
100016,HDFC Top 100 Fund,1149,0.0142,0.9164,-1.4364,-1.806,-22.8016
119093,Axis Bluechip Fund,1149,0.033,0.8809,-1.4226,-1.7487,-22.5823
118632,Nippon India Large Cap Fund,1149,0.0865,0.8913,-1.3954,-1.7619,-22.1514
119092,Axis Bluechip Fund,1149,0.0275,0.8788,-1.375,-1.7328,-21.8268
120504,ICICI Pru Bluechip Fund,1149,0.0843,0.9048,-1.3728,-1.7494,-21.7928
148567,Mirae Asset Large Cap Fund,1149,0.1074,0.8941,-1.356,-1.7623,-21.5255
120503,ICICI Pru Bluechip Fund,1149,0.0698,0.8746,-1.355,-1.7451,-21.51
119552,SBI Bluechip Fund,1149,0.0785,0.8781,-1.3501,-1.7336,-21.4321
118633,Nippon India Large Cap Fund,1149,0.0616,0.8817,-1.3443,-1.663,-21.3393
101206,ABSL Frontline Equity Fund,1149,0.0852,0.9177,-1.3282,-1.7439,-21.084
120841,Kotak Bluechip Fund,1149,0.0522,0.8481,-1.3142,-1.6363,-20.8619
119551,SBI Bluechip Fund,1149,0.0917,0.8656,-1.2846,-1.6397,-20.3928
102885,UTI Nifty 50 Index Fund,1149,0.0674,0.8086,-1.2613,-1.549,-20.0219
118635,Nippon India ETF Nifty 50 BeES,1149,0.06,0.8179,-1.2554,-1.6177,-19.9284
119120,SBI Magnum Gilt Fund,1149,0.0222,0.2499,-0.3938,-0.5014,-6.2518
118636,Nippon India Gilt Securities Fund,1149,0.0202,0.2511,-0.3804,-0.4919,-6.0389
100025,HDFC Short Term Debt Fund,1149,0.017,0.246,-0.3793,-0.4994,-6.0216
120844,Kotak Liquid Fund,1149,0.0256,0.0323,-0.0285,-0.0411,-0.4521
101208,ABSL Liquid Fund,1149,0.0242,0.0319,-0.0269,-0.0422,-0.4265
120507,ICICI Pru Liquid Fund,1149,0.0268,0.0311,-0.0222,-0.0373,-0.3517
